stock_symbol,time_stamp,open,recent_high,recent_low,close,volume
BRK.A,2019-03-25,301227.0000,303410.0000,297900.0000,299380.0000,320
BRK.A,2019-03-22,305940.0000,305940.0000,300717.4900,301225.0000,311
BRK.A,2019-03-21,304000.0000,307120.0000,303390.4900,307120.0000,169
BRK.A,2019-03-20,307900.0000,307922.4900,304850.0000,305505.0000,217
BRK.A,2019-03-19,311100.0000,311299.0000,307100.0000,307900.0000,237
BRK.A,2019-03-18,308140.0000,310393.7900,308140.0000,309996.0000,256
BRK.A,2019-03-15,306440.0000,309170.5500,306000.0000,307250.0000,332
BRK.A,2019-03-14,305360.0000,306555.1400,304300.0000,305350.0000,144
BRK.A,2019-03-13,304500.0000,308026.0000,304355.0000,306300.0000,357
BRK.A,2019-03-12,304200.0000,305540.0000,303725.0000,304235.0000,243
BRK.A,2019-03-11,300000.0000,303450.9700,300000.0000,303279.0000,203
BRK.A,2019-03-08,297000.0000,299160.9700,295900.0000,299000.0000,241
BRK.A,2019-03-07,300800.0000,301000.0000,297500.0000,299050.0000,269
BRK.A,2019-03-06,302300.0000,303547.7500,301200.0000,301375.0000,141
BRK.A,2019-03-05,302825.0000,303100.0000,301300.0000,302600.0000,179
BRK.A,2019-03-04,304900.0000,307315.2300,301200.0000,303400.0000,293
BRK.A,2019-03-01,304520.0000,306415.7200,302999.9300,304859.5000,211
BRK.A,2019-02-28,303605.0000,303710.0000,301999.9900,302200.0000,208
BRK.A,2019-02-27,302500.0000,303503.0300,302100.0000,303000.0000,284
BRK.A,2019-02-26,303899.9900,303899.9900,302000.0000,302500.0000,183
BRK.A,2019-02-25,303050.0000,307500.0000,302000.0000,303300.0000,321
BRK.A,2019-02-22,305434.0000,305434.0000,300000.0000,302000.0000,405
BRK.A,2019-02-21,308992.0000,309800.0000,306535.0000,307925.0000,182
BRK.A,2019-02-20,308375.0000,309500.0000,307500.0000,309500.0000,95
BRK.A,2019-02-19,307820.0000,309350.0500,307295.0000,307315.0000,216
BRK.A,2019-02-15,307000.0000,308320.0000,305850.0000,308139.0000,231
BRK.A,2019-02-14,306895.0000,306895.0000,302585.0000,303890.0000,220
BRK.A,2019-02-13,309650.0000,312140.0000,308025.0100,308320.0000,427
BRK.A,2019-02-12,307899.9900,310000.0000,307655.0000,309260.0000,207
BRK.A,2019-02-11,302375.0000,304930.0000,302350.0000,304884.0000,169
BRK.A,2019-02-08,301000.0000,301390.0000,297381.0000,300771.0000,241
BRK.A,2019-02-07,307000.0000,307150.0000,301100.0000,302812.5000,241
BRK.A,2019-02-06,310000.0000,310449.0000,307780.0000,308810.0000,118
BRK.A,2019-02-05,312550.0000,313000.0000,310155.0100,310700.0000,364
BRK.A,2019-02-04,313650.0000,313650.0000,310470.0000,312000.0000,310
BRK.A,2019-02-01,310005.0000,313960.0000,309965.0000,313875.3800,378
BRK.A,2019-01-31,307540.0000,311890.0000,306194.7400,311500.0000,477
BRK.A,2019-01-30,305899.9900,311145.0000,304800.0000,309180.0000,318
BRK.A,2019-01-29,300880.0000,303014.4500,300745.0000,303000.0000,216
BRK.A,2019-01-28,301900.0000,302240.0000,299850.0000,301000.1100,376
BRK.A,2019-01-25,304561.0000,306950.0000,303265.0000,303531.0000,248
