stock_symbol,time_stamp,open,recent_high,recent_low,close,volume
gs,2019-06-18,190.6700,197.1300,190.6700,194.9800,2362675
gs,2019-06-17,192.0200,193.2300,190.7400,190.8300,1155579
gs,2019-06-14,191.2900,192.1700,189.3100,191.6600,1403930
gs,2019-06-13,190.4100,192.2500,190.0700,191.4500,1411616
gs,2019-06-12,193.6100,194.0507,189.8300,190.2200,2059406
gs,2019-06-11,195.3000,196.1153,193.5100,194.7300,1632227
gs,2019-06-10,191.4000,197.0000,191.4000,194.1200,2372134
gs,2019-06-07,189.8800,190.6100,188.5200,189.8100,1838954
gs,2019-06-06,188.0600,190.7400,187.3100,189.8100,1653532
gs,2019-06-05,190.1000,190.1600,187.0100,188.4400,1968185
gs,2019-06-04,186.1800,189.9900,185.7100,189.8800,2421063
gs,2019-06-03,181.7000,183.4900,180.7300,183.1900,2857821
gs,2019-05-31,184.7700,184.8900,182.3100,182.4900,2640393
gs,2019-05-30,188.0900,189.3698,186.0100,187.3700,1919327
gs,2019-05-29,187.7400,188.6500,184.9200,188.0500,2815797
gs,2019-05-28,192.0000,193.3100,189.3900,189.4400,3039950
gs,2019-05-24,192.8900,194.0700,191.6800,193.0000,1637338
gs,2019-05-23,193.0000,193.0000,189.5600,191.9700,3184179
gs,2019-05-22,197.4400,198.4800,195.4600,195.5200,2427247
gs,2019-05-21,198.6600,199.3200,198.0005,199.1100,2327767
gs,2019-05-20,197.0900,197.7800,195.5700,197.2400,2483484
gs,2019-05-17,196.3000,199.0900,196.3000,197.4300,1928394
gs,2019-05-16,196.6300,200.0000,196.6231,199.1400,2008310
gs,2019-05-15,194.6400,197.5900,193.4200,196.4000,2271501
gs,2019-05-14,194.9900,198.1300,194.9000,196.2800,2463391
gs,2019-05-13,197.9000,197.9000,194.0000,194.9700,3605565
gs,2019-05-10,200.9800,202.1000,198.9900,202.0500,2089764
gs,2019-05-09,199.5100,202.2200,197.9100,201.6300,2333539
gs,2019-05-08,201.4000,203.2000,200.7950,200.9500,1817714
gs,2019-05-07,203.3400,204.0000,201.0100,202.6300,2839464
gs,2019-05-06,202.8000,206.9800,201.7100,206.4300,1927994
gs,2019-05-03,206.0100,208.7500,205.6700,207.5200,1897692
gs,2019-05-02,204.4300,206.2200,203.1200,204.9900,1514660
gs,2019-05-01,206.4000,208.4086,204.0300,204.7300,1981789
gs,2019-04-30,206.9400,207.9899,204.1500,205.9200,1833416
gs,2019-04-29,203.5000,208.0000,203.2700,206.9200,2997024
gs,2019-04-26,201.7300,203.1200,200.3200,203.0800,1543137
gs,2019-04-25,199.7000,202.5600,199.1000,201.4000,2075273
gs,2019-04-24,203.0000,203.5200,199.7300,200.5400,4606367
gs,2019-04-23,204.2500,205.1900,202.7400,204.1400,2121243
gs,2019-04-22,205.1200,205.5900,204.1400,204.6000,1591430
gs,2019-04-18,207.0900,207.8600,205.1500,205.9100,2874292
gs,2019-04-17,201.9600,208.5000,201.7800,207.9000,4195336
gs,2019-04-16,199.6200,202.9400,199.2400,201.8400,4852969
gs,2019-04-15,204.1100,205.7356,199.7000,199.9100,6617232
gs,2019-04-12,207.0000,209.9700,206.3700,207.8400,5096630
gs,2019-04-11,204.2300,205.4500,201.5700,202.8300,2802400
gs,2019-04-10,201.8000,203.1700,200.2736,202.9800,1907115
gs,2019-04-09,201.2300,201.5900,198.8600,200.6200,2400893
gs,2019-04-08,202.7900,203.6300,201.1800,202.5400,1891580
gs,2019-04-05,203.3800,205.5000,202.0600,202.3800,2447288
gs,2019-04-04,200.8000,204.2900,200.5000,202.2300,2582379
gs,2019-04-03,199.2500,201.0900,198.5400,200.8600,3227885
gs,2019-04-02,196.2400,197.7600,195.4000,197.5000,2246979
gs,2019-04-01,194.0000,198.0900,193.6100,196.7400,3562556
gs,2019-03-29,192.6800,193.1050,191.1400,191.9900,2632797
gs,2019-03-28,190.7400,191.9086,189.2900,191.1800,2343428
gs,2019-03-27,190.6000,191.6100,188.7400,190.0300,2343810
gs,2019-03-26,190.0300,192.4100,188.6900,190.6900,2910110
